	Test text	Test emotions	Predicted emotions
1488	i was disgusted at the way the bus conductor threw out an old woman oiut of the minibus simply because she could not pay the fare for her luggage	anger	anger
1489	i actually feel inside which is so dangerous because apart from my shoulder i feel really amazing	anger	anger
1490	i can t help but feel petrified of the future is she ever going to get better	fear	fear
1491	i workout every morning before and feel fabulous for it	happy	happy
1492	i feel like i have been a little distracted lately	anger	anger
1493	i just feel as though somehow shes become less likeable	happy	happy
1494	i feel so stupid because the first week of it fair wasnt even worth working for	sadness	sadness
1495	i do feel a little needy	sadness	sadness
1496	i forgive myself for accepting and allowing myself to feel uncertain about my application within this i reveal that i feel uncertain within myself	fear	fear
1497	i was feeling crappy i still decided to go	sadness	sadness
1498	i can eat plenty of it and feel totally satisfied i dont need to understand how it all works	happy	happy
1499	"She was particularly concerned when , shortly before her wedding day , she discovered that Prince Charles planned to give his friend a bracelet inscribed with their nicknames ` Fred "" and ` Gladys"	fear	fear
1500	i feel like we had a connection but we ve struggled so much now we ve lost it and i feel so bad about that	sadness	sadness
1501	i feel assaulted the new kid whined	fear	fear
1502	i feel like i know i m troubled and that s why i give myself an excuse	sadness	sadness
1503	A small sad smile pulling at her mouth , convinced that it would say thank you and goodbye , she took a deep breath , and began to rea	sadness	happy
1504	i wouldn t make too big of a deal out of the situation you found your daughter in unless you feel prompted to not fearful	fear	fear
1505	i feel weird about my self this doesn t feel like me	fear	fear
1506	i should have left this movie feeling frightened or at the very least convinced that this number held some kind of mystical power or was the key to some government conspiracy but no	fear	fear
1507	One horrified look told him that Daisy had already sunk to her paster	fear	fear
1508	I experienced tears of real grief for the first time when my granny die	sadness	sadness
1509	i doubt anyone is if they are entirely honest with themselves and thats ok because for now i may not feel perfect but i do feel happy and thats one hell of an improvement	happy	happy
1510	i couldnt feel thing however that kind of bothered me because i didnt feel it pop	anger	anger
1511	i still feel incredibly listless being in albuquerque but at least the weather is improving more or less	sadness	sadness
1512	i feel so helpless because i dont know what more to do	fear	fear
1513	i first started reading city of dark magic i thought it would be a challenge to actually enjoy it since i felt like the content about famous classical music was over my head but luckily after plowing through the first chapter i became more confident and started feeling less dumb	sadness	happy
1514	i feel sort of pathetic saying that my iphone internet and tv are my must haves but lets be honest they are	sadness	sadness
1515	i feel heartbroken for the people of north carolina	sadness	sadness
1516	i am feeling cranky or not cooperative i should be allowed to sleep or relax and if i am not given this opportunity it s not my fault if i body slam my bosses or harass museum visitors	anger	anger
1517	i feel myself getting agitated over something insignificant or feeling bored i m going to remember this quote	anger	anger
1518	i was feeling and how rich we are	happy	happy
1519	She felt guilty when she sensed Beth 's deep sadnes	sadness	sadness
1520	i would feel ashamed or guilty if i were to take too much of the commons for myself	sadness	sadness
1521	i invite him to send me an email detailing all the ways he feels that ive wronged him and i promise to post it unedited outside of names or what not in this blog	anger	anger
1522	i feel a bit stressed even though all the things i have going on are fun	anger	anger
1523	i really dont like quinn because i feel like she will just end up hurting barney and i hated the lame ted robin storyline	anger	sadness
1524	i was also feeling anxious around some of the people sitting in the waiting area	fear	fear
1525	im feeling generous enough to give the rest of my supporters ebooks too	happy	happy
1526	i feel like it s going to be something shockingly amazing	happy	happy
1527	i had been feeling resentful of my parents for some few hours	anger	anger
1528	im feeling a bit grouchy today	anger	anger
1529	im feeling as though this is all pretty boring	sadness	sadness
1530	i was really starting to feel discouraged	sadness	sadness
1531	i am if i go back to the hostel for a break i feel anxious to get back out and see more and more take it all in	fear	fear
1532	i kind of feel like i should be investing in a how to internet for dummies type book but im really not bothered by my status as an internet pariah	anger	anger
1533	i just feel terrified like im on the edge of a precipice staring ahead	fear	fear
1534	i did feel slightly weird in that costume	fear	fear
1535	i texted haircute rather than haircut but since i feel like i was cute afterwards haircute is justified	happy	happy
1536	i don t have to go around questioning broads or feeling suspicious	fear	fear
1537	It is worth , asking if all our sadness and anxiety is in fact for our chil	sadness	sadness
1538	im feeling so mellow right now and so im listening to coldplays song yellow	happy	happy
1539	i am feel overwhelmed	fear	fear
1540	im feeling a little mellow right now i have to admit that im actually feeling pretty low key and happy	happy	happy
1541	i glimpsed a visitor but i could feel it was disturbed somehow whether mad or confused or something similar	sadness	anger
1542	i lie in bed my legs are in constant motion i feel i am out of control as they have to be shaken or tapped or just doing something	fear	fear
1543	i feel that i am afraid of whatever ad anything that will happen and idc is it good or bad i am just afraid and i hope god you will help me in whatever i do	fear	fear
1544	ive been feeling disheartened by the young adult genre after quite a few badly written novels but this one has restored my spirit and captured my heart	sadness	sadness
1545	i did not realize how absolutely bad i was feeling with weight pain and the emotional toll until i was gluten free for weeks	sadness	sadness
1546	i feel certifiably idiotic right now	sadness	sadness
1547	i also feel stubborn	anger	anger
1548	i am feeling irritable cranky often	anger	anger
1549	when my father shouted at me for going to a party with my sister	anger	happy
1550	i have been following your blog i feel like ive gotten to know the real you not some filtered version or a fake internet persona of who youd like to be	sadness	sadness
1551	i feel kind of strange	fear	fear
1552	im feeling sorry for myself i think of miss jimmy who had nothing and yet was thankful for everything	sadness	sadness
1553	And I 'm really excited about it and there 's lots of interest , I think this places are taken up alre	happy	happy
1554	i stopped challenging him and always make him feel more than superior to me like magic the whole fighting stopped	happy	happy
1555	i knew i have this feeling but i ignored it	sadness	sadness
1556	i started thinking about which spaces made me feel most creative and what characteristics they had	happy	happy
1557	ill let myself shed a few tears and feel bitter confused frustrated and hurt for the last time	anger	anger
1558	i wouldnt feel suspicious for muslim terrorist like to blow things up hijack planes kidnap use bio warfare and shoot	fear	fear
1559	i feel pleasant staying away from the former	happy	happy
1560	i was feeling mad about the dress and mad at myself for being mad about the dress	anger	anger
1561	i love this because to me it should leave the reader feeling confused and slightly deceived	fear	fear
1562	i am feeling a bit agitated or stressed i find a surprising amount of relief from cleaning and decluttering my house or even just a small space like a closet	fear	fear
1563	She 'd felt quite frightened and had n't accepted the invitati	fear	fear
1564	i do when i m feeling not too grouchy	anger	anger
1565	i ever start to feel successful at all things life again	happy	happy
1566	i remember feeling so lonely as a child in my room even though i had a lot of toys to keep me occupied	sadness	sadness
1567	i cant really explain the feeling i get inside when someone is mad at me	anger	anger
1568	i always feel stupid afterwards	sadness	sadness
1569	i feel myself afraid of being abandoned	fear	fear
1570	i remember sitting in my family room in dallas watching the story unfold in new york so many years ago and feeling so helpless	fear	fear
1571	i cant believe this is right but i feel a lot less alarmed since the sea is still at a steady	fear	fear
1572	im not sure if the energy in trying to sew up the race to dubai and competing in the fedex cup has taken more out of me than maybe i thought because while i am feeling ok physically mentally i feel really tired he said	happy	happy
1573	i would have never understood or valued the meaning of a life partner if i did not feel lonely	sadness	happy
1574	i just feel so fucked up these days	anger	anger
1575	my sister once stole my mothers money and made her very angry after this my mother would beat her up for unreasonable reasons one day my sister lent her book to a friend without telling my mother about it when my mother learnt this she beat her up and even threatened her with a pair of scissors	anger	anger
1576	She sounded a little low-spirite	sadness	anger
1577	i just feel really emotionally drained	sadness	sadness
1578	Her ladyship looked frightened , shock	fear	fear
1579	i am feeling increasingly hopeful	happy	happy
1580	i didn t feel relieved	happy	happy
1581	i feel about putting on brave faces fuck that let s get real	happy	happy
1582	i will choose not to focus on him instead focusing on how i feel i will try not to focus on him and instead of being agitated by him i will choose to let the negative feeling go	fear	fear
1583	im going to go do my anti dance flow now and if i feel eager since ill be on the mat anyhow i might even do a few circuits of grow a spine	happy	happy
1584	i started feeling better towards the afternoon and now i still intend to finish off some things in my to do list	happy	happy
1585	i focus on little things that make me feel glamorous	happy	happy
1586	when i almost walked on a snake	fear	sadness
1587	ive been feeling a little bit anxious of late as far as my relations or lack thereof with some of the ward and some of the investigators go so im excited to be able to ponder that in the temple and see if i can come up with a plan with the lords help	fear	fear
1588	i have a feeling that people are using it more than they need to and enjoying the feeling as it flies carefree off the tongue but that is alright with me	happy	happy
1589	ill be thirty next year and im feeling positive about my life and the choices im making and the things that im putting out there into the world	happy	happy
1590	i feel that he is ungrateful for having an opportunity to breathe the air when so many others didn t have the chances he has had	sadness	sadness
1591	i didn t ride on sunday and was still feeling a little apprehensive on monday so decided to a title lunge href http en	fear	fear
1592	i get frustrated that unresolved issues from my past have had a severe negative effect on my behavior and feel he must be angry that i have not resolved them by now	anger	happy
1593	i am full of feeling not empty	sadness	sadness
1594	i think guys who feel need to compensate do it by being obnoxious	anger	anger
1595	i must say it is a wonderful feeling and makes me feel so submissive	sadness	sadness
1596	i definitely cannot prove but i feel that its important enough	happy	happy
1597	i got s and really i feel like i hit the lottery i was scared itd be something like x and id be screwed	fear	fear
1598	i think honestly i did feel a bit vulnerable	fear	fear
1599	i found that the price of staying and feeling gorgeous has sky rocketed so i decided to take my own personal experiences and use them to give fellow students and other people on a budget a helping hand	happy	happy
1600	i also hate feeling aggravated when i dont know how i am supposed to eat because when i feel that way i often sound that way	anger	anger
1601	i feel offended and sad because they do not know their ignorance	anger	anger
1602	i also didn t feel very weird sleeping in my bed while the two of them slept in hers	fear	fear
1603	Following yesterday 's revival in fortunes , the London share market was in a despondent mood as the Treasury deflated hopes of early interest rate cut	sadness	sadness
1604	i feel sad for you and me because i know how much we will miss the entire powell clan	sadness	sadness
1605	i feel burdened by my own expectations	sadness	sadness
1606	i feel bashful discussing it i m a closet gamer if you will and yet millions of people from all around the world are doing the same thing	fear	fear
1607	i only feel frightened and these are such small things	fear	fear
1608	i feel distracted and its sometimes hard to talk to god and that used to be second nature to me	anger	anger
1609	i admire her and feel like even though shes gorgeous and talented she hasnt succumbed to the hollywood pressures like a lot of a listers have	happy	happy
1610	i will give proper praise to the amish for being punctual but feel that i should point out that they have never had to finish a game or tv show before they rushed out the door	anger	anger
1611	i was feeling a bit rushed and the kitchen has just been cleaned so i mixed up in the blender which i find works just as well provided your butter is really cold and you dont over do the pulse	anger	anger
1612	im feeling a bit weepy today	sadness	sadness
1613	i mentioned in my last blog that i have started to get the feeling that i have been pressured into studying things i do not like which has also made me into a person i might not fully be	fear	fear
1614	i will feel as though i am accepted by as well as comfortable being around both sides of my family	happy	happy
1615	i can feel the frantic beat of his heart but cookie s voice is surprisingly clear	fear	fear
1616	i woke up four miles away hungry as hell but somehow feeling oddly satisfied	happy	happy
1617	i felt better on thursday and today friday felt good enough to come into work though i still feel kind of shitty and foggy	sadness	sadness
1618	i just feel insecure so what should i do sis	fear	fear
1619	i feel so glad talking to them because they help me learning japanese through conversation and help me speaking english nicer and more frequently	happy	happy
1620	He looked at her with exasperation when she just gazed at him with wide deep blue e	anger	anger
1621	i feel a little sad about it but christmas is hardly on	sadness	sadness
1622	i feel absolutely overwhelmed by it	fear	fear
1623	And found to his annoyance that he was grinding his te	anger	anger
1624	i really didn t know what i was feeling my mind was blank i was confused and numb	sadness	sadness
1625	i get an anxious feeling i feel xox soon itll be the real thing already so i need to be flawless	happy	fear
1626	i remember something about the artwork i spent hours with in school i feel smart and worthy	happy	happy
1627	One of the four ads is for insurance , another for Sherwood 's and the other two draw the attention of anxious patients to a particular service offered by local solicito	fear	fear
1628	i feel disgusted by u	anger	anger
1629	i feel like i m finally losing that stubborn little bit of extra stuff in my lower belly	anger	anger
1630	He sat looking at the fire with lowered eyelids , a contented expression on his face , looking like a big overfed 	happy	happy
1631	i hesitate to give out stars for any books because i feel that giving it stars is saying that it is absolutely perfect and there are no improvements to be made	happy	happy
1632	i feel so helpless but so well protected	fear	fear
1633	i could feel my tremors coming on and i started to get real shaky	fear	fear
1634	im pretty sure of is this feeling inside me of being terrified	fear	fear
1635	i guess i feel insecure and anxious	fear	fear
1636	i had struggled through a difficult pregnancy i was feeling apprehensive and excited at the same time about the soon to be newest member of our family	fear	fear
1637	i feel i hate him like i have never ever hated anyone like that but i cant stop looking at his existing symbol	anger	sadness
1638	i feel and look gorgeous beautiful and sexy	happy	happy
1639	i feel at the person who broke in and stole my gift which represents a very nice memory and turning it into something not so nice	sadness	sadness
1640	i feel like she acts bitchy and complainy to try and fit in but that doesnt make sense because for the most part were not bitchy and complainy	anger	anger
1641	i feel tremendously lonely	sadness	sadness
1642	i may not be rich by material standards but i feel very rich because i am grateful for what i have	happy	happy
1643	i almost feel too stubborn to come back as i said that i was leaving	anger	anger
1644	i feel like i need to tattoo that peggy o mara quote onto my arm so i ll see it next time i feel disgusted disdainful or disappointed by my children s behavior	anger	anger
1645	i get on the bike temperature is good no wind ya not until turning around and the first feels fabulous mph average i am thinking oh yes going for today and it may just be easy	happy	happy
1646	i enjoyed the feeling of belonging and the sense that i was recognised and somehow valuable	happy	happy
1647	i feel like a blank sheet	sadness	sadness
1648	before an exam which i	fear	happy
1649	i feel kinda apprehensive	fear	fear
1650	i amos does such a beautiful job retrofitting cohens song and really his basic arrangement too with her own piano work that it feels to me like more of an artistic effort than merely paying homage	happy	happy
1651	i have alotta life going on and i keep mumbling to myself keep swimming keep swimming and i feel all sorts of giggly when i do say it	happy	happy
1652	i don t feel they re being rude or impudent	anger	anger
1653	ive been feeling a bit remorseful about our decision kicking myself that i was too cheap for my own good	sadness	sadness
1654	i bet you feel safe keeping your life in a cage while i take my chances but always collapses	happy	happy
1655	i feel like i was convinced to spend the night alone it was not my choice i was wrongfully lead astray	happy	happy
1656	i ended up shoeless making me feel even more vulnerable and slowing me down further	fear	fear
1657	i am just feel so shy cause i realized those people behind me just didnt dance and look at us gt	fear	fear
1658	i touched them and boy did they feel weird like jelly	fear	fear
1659	i feel needy when i ask someone to hang out with me and i end up not trying after a few times of being told no i have plans sorry	sadness	sadness
1660	i look at others and feel jealous	anger	anger
1661	i feel quite uncertain that the art i create and my personal brand of creative living are what im here to contribute	fear	fear
1662	im no longer feeling bitchy	anger	anger
1663	i think i love her enough now to feel pretty insulted and rawr about it	anger	anger
1664	i feel like you think im heartless and honestly im really not not about this	anger	anger
1665	i do feel that you are a little needy because of the tone in your note to me	sadness	sadness
1666	i am feeling a little uncertain as i am waiting to hear from my land lady to confirm a date and receive my contract	fear	fear
1667	i usually just feel aggravated with the unprofessional attitude of the rest of the cast	anger	anger
1668	i wasnt so terribly sore i would feel a bit regretful but theres papers to write and ebony dances to practice for	sadness	sadness
1669	i had it in the bag because i was still feeling strong	happy	happy
1670	i guess we would naturally feel a sense of loneliness even the people who said unkind things to you might be missed	anger	anger
1671	i think most interactions in person are probably fine sufficiently respectful and polite that the ladies don t feel abused	sadness	sadness
1672	i feel resentful that it hurts so much but i m also grateful she said for what i can do including disco swimming and even taking the stairs	anger	anger
1673	im feeling shy im feeling mad im feeling sad	fear	anger
1674	i feel that the session was useful and gave me tools i need to move forward in my life	happy	happy
1675	i feel those moments are very precious even to share	happy	happy
1676	i am feeling a little disheartened	sadness	sadness
1677	i kinda like you when i saw hannah montana but since you broke up with nick i feel like you are so a heartless person	anger	anger
1678	i alight in front of the hotel i can feel the bellmen s appreciative glances	happy	happy
1679	i feel selfish at times for wanting an escape from my day to day as i feel like i should be thinking of the kids and taking them some where instead	anger	anger
1680	i love feeling like i am truly making a difference in students lives although sometimes i am unsure	fear	fear
1681	i feels so lame	sadness	sadness
1682	i am feeling so helpless ma i am being unable to fight your illness i am being unable to take you out from that pain i feel helpless today	sadness	fear
1683	i got when i went home sick today i m still feeling a bit shaky and for david helping me fix the broken handrail on the basement stairs	fear	fear
1684	i sing i feel weird	fear	fear
1685	i feel a bit reluctant to turn to other people	fear	fear
1686	i was feeling overwhelmingly anxious so i went into my room to read my bible and pray	fear	fear
1687	Physically she felt devastate	sadness	fear
1688	i feel incredibly disillusioned with the weekend	sadness	sadness
1689	What a contrast with the rattled and untrustworthy gamblers at Number 10 and Number 11 Downing Stre	fear	anger
1690	i honestly feel extremely shy to ask my friends to take pictures of me how vain must they think i am	fear	sadness
1691	i just couldnt fall asleep feeling scared	fear	fear
1692	i forgot to take it yesterday so this morning i took two i feel super sick now	happy	happy
1693	i was the compere at a party and all my efforts to get the show rolling were thwarted by the immobile	anger	sadness
1694	i continued to feel very submissive and continued to be aroused as well	sadness	sadness
1695	i sometimes feel shy about my musical taste because some of it wanders towards what some might call techno slander	fear	fear
1696	ive been feeling super run down all morning and debated whether or not to leave my usual closed for business type illness post	happy	happy
1697	i am glad he is ok but it makes me feel even more alone in my sadness	sadness	happy
1698	i feel ashamed of my unproductive days	sadness	sadness
1699	i feel like i missed out when i was younger but i was very active and would be much more content to go outside and ride a bike	sadness	happy
1700	i said sir i feel from real time company experience that mba would be more valuable for my career than gate since most work now a days in it companies now is support based	happy	happy
1701	i feel lots more energy i feel very impatient and irritable	anger	anger
1702	i feel contented staying grounded and take it slow as i build up the little things that comes my way	happy	happy
1703	i freak out when i feel like i m rejected or not wanted	sadness	sadness
1704	i maintain that these feelings should be repressed not expressed	sadness	sadness
1705	i had an incredible feeling of frantic despair	fear	fear
1706	i grit my teeth shook my head and spent the next minutes feeling irritated	anger	anger
1707	i think i feel stressed	sadness	anger
1708	i feel that the message is too lame or something	sadness	sadness
1709	i decide to look for professional help and when i find a ceramics repairment atelier that describe themselves as artisans of patrimony specialized in primitive arts and antiquities i feel relief that my damaged fish shape ashtray will finally be in safe hands	sadness	sadness
1710	i feel ecstatic every time i perfect a water sport	happy	happy
1711	i feel confident that you and i have something solid	happy	happy
1712	i get into conversations and regret them and start to feel exhausted after fifteen minutes of something that sounds like something but feels like it is only peas and carrots peas and carrots mush mush mush	sadness	sadness
1713	i usually don t wear glasses at first i had uncomfortable feeling like irritated but lately i feel comfortable to have it	anger	anger
1714	im not mistaken all the thai business leaders at the dinner feel ashamed about the setbacks that have held thailand back from its full potential	sadness	sadness
1715	i feel shy when people reading these but i am writing it here so brothers and sisters would see how real life works	fear	fear
1716	i am feeling very touch deprived with all that has been happening	sadness	sadness
1717	i never thought id feel so much as a jot of sympathy for hussein whom i always viewed as a jumped up petty thug whatever my thoughts may be about actions against his administration	anger	anger
1718	my boyfriend with whom i had a longlasting relationship	sadness	anger
1719	im sorry for how bad i hurt your feelings that make you feel unloved and alone feeling afraid to love and trust again	sadness	sadness
1720	` I am obviously very pleased about winning but it was also great that my parents were h	happy	happy
1721	i feel like a doll which has been abused	sadness	sadness
1722	i hope your words make you feel brave and scared and everything else in between	happy	happy
1723	i still feel really shaken about the whole thing	fear	fear
1724	i remember feeling so thankful to be able to put my feet up and enjoy taking care of newborns right before id be able to take care of my own	happy	happy
1725	For Andrew , the trip up to London to the awards ceremony attended by the Princess of Wales , was almost overshadowed by his excitement over his first journey on a train up to the capi	happy	happy
1726	i feel so very honored that they asked little ol me	happy	happy
1727	i feel like the leadership training was a perfect vision of what god wants missionary work to be now	happy	happy
1728	i started to develop feelings for you they scared me and i freaked out but you promised me that i was safe	fear	fear
1729	i was angry at my boyfriend who had promised to come to see me but did not because he spent the evening with his pals	anger	anger
1730	i feel convinced that i am an annoyance to them	happy	happy
1731	i feel victimized like im getting robbed	sadness	sadness
1732	im just feeling so fucked up nothing can cheer me up	anger	anger
1733	i feel that is why she suddenly got mad at mom	anger	anger
1734	i guess i talked to enough people to realize that we all feel intimidated by meeting others for the first time	fear	fear
1735	i know that when i am feeling distraught or moody i can depend on you two to put a smile back on my face	fear	fear
1736	i contributed my ideas and opinions during discussions and i feel that i contributed ideas that were valued and taken into consideration	happy	happy
1737	But the behaviour of Reverend Prentice has only added to his anguis	sadness	happy
1738	im feeling excited about it	happy	happy
1739	i like moving with a long lead time and not feeling rushed	anger	anger
1740	i guess you could say i am teeter totering right now on the edge and i feel like im dangerous	anger	anger
1741	i just feel resentful and show my resentment by eating tempura and sundaes	anger	anger
1742	i feel it s a worthwhile cause and hope you decide to participate	happy	happy
1743	i realize that this conversation can make some people feel paranoid or upset generally	fear	fear
1744	i have been having bad dreams really weird dreams that make me feel like i got no sleep at all and with completely disturbed thoughts	sadness	sadness
1745	i got an overall dark and uncomfortable feeling as we chose to stay until the end as not to disrupt or be rude	anger	anger
1746	i feel incredibly sarcastic right now	anger	anger
1747	i am suddenly feeling insulted while typing this down	anger	anger
1748	i feel so privileged to share that love with five lovely students	happy	happy
1749	i feel rather disheartened suddenly	sadness	sadness
1750	i feel is awkward because it s too high four steps for a	sadness	sadness
1751	i told her that i woke up feeling mad that i am a woman and that i am probably always going to have to worry about being raped	anger	anger
1752	i cause extreme worry and distress ground to remember fondly you forever mary prepares to feel unfortunate time eventuallythe intense emotion have sexual lovein condescend to come she by hand puts out strength wu mouth dont let oneself cry out	sadness	sadness
1753	But the blank horror over Khmer Rouge atrocities between 1975 and 1978 has created a blind spot about its strength in Cambodia , and the growing likelihood that it will return to power , either on its own or with the other Cambodian opposition factio	fear	fear
1754	im feeling enraged at another persons actions i have to consider what i was thinking about in the moments prior to the incident	anger	anger
1755	i am feeling a bit strange never felt that ever but should i really stop writing blogs now	fear	fear
1756	i feel as though i have merely accepted what has been done and that no matter what time has gone by it will always be with me	happy	happy
1757	i feel intimidated by the wide open design and therefore find it hard to write	fear	fear
1758	i feel isolated even when i m around other people	sadness	sadness
1759	i know some people may cringe but when i feel something in me i have to say it and if you wanna get mad well get mad	anger	anger
1760	i feel stressed out i would watch movies alone or just walk on the streets alone	anger	anger
1761	i even started feeling impatient with myself when that didn t exactly happen	anger	anger
1762	im not feeling quite so adventurous i might just find a quiet spot to read	happy	happy
1763	i feel im really just pissed	anger	anger
1764	i feel lethargic and overheated all the time	sadness	sadness
1765	i was up to my eyes and studying and feeling pretty jaded a href http maturestudenthanginginthere	sadness	sadness
1766	i am feeling the strange mix of extremely proud relieved she is on the path to her fabulous future but gutted she has chosen to move out to live in halls of residence at uni	fear	fear
1767	i hope not pagetitle khatsii feeling fearful	fear	fear
1768	And though , as Lachlan had planned , they had expected the attack in the morning , they were quite happy when their lookouts reported the Macleans ' approach in the early even	happy	happy
1769	im feeling so angry because that was just wasted work from her side	anger	anger
1770	i do not however feel the loss of officer nicholsons life was any more tragic than the death of the young mother whose murder started this whole scenario in motion	sadness	sadness
1771	i feel more in control and less frightened about my headaches and migraine attacks excellent service	fear	fear
1772	i feel that the thighs are being stubborn and not going away at the same rate as stomach arms or butt	anger	anger
1773	i have been feeling very insincere	anger	happy
1774	i could find another reason i m new in the area and i feel less intimidated with a simple tool that i can understand	fear	fear
1775	Temperamental differences operate once more with this new trio of junior heroes , whose elders , the three lieutenants , regard their pranks with mild amusem	happy	anger
1776	i absolutely love working and the feeling of accomplishment i get from it but i am tangibly physically unhappy with the family life i am missing right now	sadness	sadness
1777	i really enjoy cabernet for how aggressive the flavors tend to be and while this isnt exactly a light wine it still has a general congenial feel to it that i find a very pleasant	happy	happy
1778	i had a real life pet hamster when i was little so i really like this little family sylvanian families are great for role play learning about animals creating your own stories and their flocked fur makes them feel very special	happy	happy
1779	i am feeling resentful it is my choice and i can choose to do things differently next time or even change my choice now	anger	anger
1780	i press play and yeah i watch my movie about five times in a row right then and there i feel satisfied and cant wait to share what i made with my friends	happy	happy
1781	i met up with some friends to watch the hockey game and headed off to a local pub called pig and duke ate some parmesan truffle wings not sure how i feel about those and some prawn lollipops delicious but terrible name	happy	happy
1782	i am not an advocate for war but i feel reassured living close to a military base where there are people trained to assist in natural disasters	happy	happy
1783	i feel a surge of adrenaline and excitement as i immediately recognize these two birds to be a gorgeous pair of marbled murrelets	happy	happy
1784	i get the feeling that my supervising teacher is overwhelmed and may have too many students	fear	fear
1785	Of course Ed was really peeved about how Martinez handled the whole Harley busin	anger	fear
1786	ive been feeling weird because i am weird	fear	fear
1787	im feeling good now	happy	happy
1788	i have nothing but respect for not only jerry sloan but the utah jazz as a whole i feel wronged that we were forced to stomach this series	anger	anger
1789	im starting to feel a bit jaded	sadness	sadness
1790	i think some people are unintelligent but want to feel intelligent so they just answer questions with nonsense answers so they can earn points and ask stupid questions like will u go out with me and stuff like that	happy	happy
1791	i often feel that everything around me is so vain and purposeless	sadness	sadness
1792	i am not sure if anyone at all can understand how i feel toward them but i almost feel like one of those troubled teens they often have on maury	sadness	sadness
1793	i am not a regular member of this group meaning that i do not follow whats going on very often and also i feel a bit shy in budding in when i do not have much to say but today i have a request for you people	fear	fear
1794	i think that now if i were to ride it without you or with another person present i would feel disheartened	sadness	sadness
1795	im feeling confident about it	happy	happy
1796	i wish i could say that i got a feeling that everything is going to be perfect and painless but i didnt	happy	happy
1797	i want them to feel as if they are intelligent and able to make their own decisions	happy	happy
1798	i feel really vulnerable with him i tell him too much im too honest and i hate it	fear	fear
1799	i begin to feel terribly rude and that causes me to become depressed	anger	anger
1800	i tried to answer as generally as i could but ive been struggling with my work lately and feeling pretty morose	sadness	happy
1801	i feel irritable or depressed during the course of the day i just stop and think am i too hungry angry lonely or tired	anger	anger
1802	im feeling rotten just talking about it	sadness	sadness
1803	As he nodded she went on , ` I 'd had a bit of a knock in -- in a relationship with a man in London , and I was very miserable over Elise 's deat	sadness	sadness
1804	im trying to find ways to add more sewing into my schedule without feeling completely overwhelmed	fear	fear
1805	im feeling sad so i can remind myself of how i am talented and good at things and also see things that inspire me all in once place	sadness	happy
1806	He said nothing , and from the anger on his face she saw that he did n't think he owed her a re	anger	anger
1807	"` You do these ? "" he asked an indignant Augu"	anger	anger
1808	ill dream about sol and wake up feeling distressed	fear	fear
1809	i feel reassured by how well we get on how much we love each other and i wonder why i ever worried	happy	happy
1810	i feel mad sad and discouraged there is something so marvelous about the lord jesus something about the holy word of god that ignites my soul with hope to once again keep moving forward	anger	anger
1811	i just tell you that the feeling of a skid is not pleasant	happy	happy
1812	i write on my blog here that i want or i am going to do something i feel more pressured for want of a better word to do it	fear	fear
1813	im looking up at the clouds moving across the sky and up up at the tallest buildings in the city i immediately feel a sense of calm surround me but oops	happy	happy
1814	im feeling oddly sentimental today	sadness	sadness
1815	i know ill feel shitty the whole time	sadness	sadness
1816	i feel glad that the stress that went into making sterile sky from spending nine months in senegal writing non stopped to facing some initial rejections at home farafina and cassava republic rejected the manuscript and to burdening friends with the manuscript is not in vain after all	happy	sadness
1817	i feel shy of sharing too much about it right now like its a delicate bird that hasnt taken flight	fear	fear
1818	I wanted to be a violinist -- that was my real ambition -- but I was too anxious to really get to grips with the instrume	fear	fear
1819	i am very stubborn but i feel like if i am going to be stubborn it should be in a manner that is going to help me	anger	anger
1820	i went into the movie i was feeling skeptical and slightly nervous that i was going to be disappointed	fear	fear
1821	i did feel that the ending was a bit rushed and i do wonder if i might have missed certain signs but its a small thing when the story happens to be addictive and you dont notice the time passing by	anger	anger
1822	i still feel extremely helpless	fear	fear
1823	i run a full computer scan with my avast antivirus it shows no viruses however i m still feeling kind of paranoid about these programs	fear	fear
1824	i guess im not ready for that still young and feeling rebellious	anger	anger
1825	im feeling a little bit embarrassed about the serious lapse in blogging but ive had an extremely busy past few months trying to finish new work in time for the toronto outdoor show as well as a number of other exhibitions	sadness	sadness
1826	i also feel terrified but i ve found that since i ve started saying i m terrified out loud i feel less terrified	fear	fear
1827	ive filled in some of the holes beneath my desk with foil as i feel distressed by the idea of losing one of my sewing machine feet or the bobbin case down there	fear	fear
1828	i have studied logic and ethics and i know with certainty that the motivation of feeling superior is not an excuse for judgement finger pointing and its eventual consequence hatred and in this case homophobia	happy	happy
1829	i feel and i think that should be respected	happy	happy
1830	i can t help but feel a little hesitant towards lily	fear	fear
1831	i feel tortured by this thought but it feels so true	fear	anger
1832	i wish there was something like this when i was younger i had a hard time asking questions without feeling embarrassed or awkward	sadness	sadness
1833	i discussed previously in my last blog post how apprehensive audiences have become towards bathrooms they automatically feel nervous which has become a fantastic trope for horror fiction	fear	fear
1834	i feel poisoned and tortured by this room	fear	anger
1835	i feel those memories are precious and i am so glad i have them	happy	happy
1836	i have an ironic feel i dont feel anything special but i still smile broadly whenever he tells me something	happy	happy
1837	i am not scared to let myself feel deeply many people are too frightened to let themselves div style clearboth padding bottom	fear	fear
1838	i feel so honored to know all of you	happy	happy
1839	i would like to take this opportunity to say how amazing his family are all of them made me feel welcomed and if i have children who are half as lovely as the children who were sat on my table i would very happy	happy	happy
